UniqueCarrier,FlightNum,Year,Month,DayofMonth,Origin,Dest,Distance
XE,2593,2011,2,27,IAH,OMA,781
CO,1184,2011,10,23,IAH,PDX,1825
MQ,3390,2011,11,20,HOU,DFW,247
OO,5839,2011,8,22,IAH,OKC,395
CO,1674,2011,9,14,IAH,DCA,1208
CO,1186,2011,12,17,IAH,LAX,1379
OO,1140,2011,3,8,IAH,COS,809
OO,1118,2011,1,16,IAH,DFW,224
CO,1830,2011,4,21,IAH,PBI,956
XE,4439,2011,10,22,IAH,IND,844
US,959,2011,4,28,IAH,CLT,913
XE,4336,2011,10,12,IAH,BHM,562
XE,2361,2011,4,24,IAH,MCI,643
WN,3492,2011,3,21,HOU,STL,687
XE,2792,2011,2,8,IAH,TUL,429
XE,2346,2011,4,3,IAH,HSV,595
XE,2916,2011,2,14,IAH,OMA,781
WN,301,2011,12,3,HOU,ECP,571
XE,2873,2011,4,4,IAH,AMA,519
WN,1094,2011,5,12,HOU,MDW,937
OO,5182,2011,10,5,IAH,CMH,986
CO,1583,2011,2,28,IAH,AUS,140
WN,1507,2011,3,8,HOU,MDW,937
WN,3555,2011,11,24,HOU,MSY,302
CO,1850,2011,1,22,IAH,RDU,1043
CO,586,2011,4,8,IAH,MCO,853
MQ,3328,2011,12,30,HOU,DFW,247
XE,3005,2011,3,6,IAH,CRP,201
XE,2920,2011,2,7,IAH,XNA,438
WN,534,2011,4,27,HOU,LAX,1390
WN,1148,2011,1,2,HOU,OKC,419
CO,1787,2011,5,1,IAH,DFW,224
OO,1185,2011,5,4,IAH,ELP,667
WN,44,2011,2,10,HOU,DAL,239
WN,1106,2011,4,22,HOU,BWI,1246
UA,552,2011,11,30,IAH,IAD,1190
XE,2025,2011,4,19,IAH,ABQ,744
WN,31,2011,2,27,HOU,CRP,187
XE,4615,2011,10,20,IAH,HSV,595
CO,1475,2011,5,12,IAH,DFW,224
CO,1662,2011,2,24,IAH,RSW,861
CO,1427,2011,7,13,IAH,ATL,689
XE,2453,2011,4,28,IAH,BRO,308
DL,810,2011,8,8,IAH,ATL,689
CO,577,2011,6,22,IAH,ATL,689
WN,60,2011,4,20,HOU,DAL,239
CO,1187,2011,12,23,IAH,SJC,1608
WN,52,2011,4,24,HOU,DAL,239
XE,2171,2011,3,25,IAH,ORF,1201
CO,1525,2011,7,18,IAH,TUL,429
XE,2496,2011,7,15,IAH,SDF,788
FL,290,2011,12,16,HOU,ATL,696
CO,1682,2011,12,23,IAH,ORD,925
WN,2677,2011,12,10,HOU,DAL,239
XE,4246,2011,10,28,IAH,AEX,190
XE,2824,2011,1,15,IAH,BHM,562
XE,2010,2011,8,9,IAH,SDF,788
XE,2408,2011,8,16,IAH,LBB,458
MQ,3328,2011,9,5,HOU,DFW,247
XE,2407,2011,2,17,IAH,LFT,201
OO,1180,2011,4,10,IAH,OKC,395
OO,1150,2011,6,23,IAH,CLT,913
CO,150,2011,6,8,IAH,ONT,1334
CO,1229,2011,12,29,IAH,ORD,925
WN,1628,2011,12,23,HOU,MCO,849
CO,1070,2011,1,24,IAH,SFO,1635
CO,1589,2011,10,25,IAH,ATL,689
CO,632,2011,2,19,IAH,LGA,1416
CO,1763,2011,3,8,IAH,PBI,956
XE,4439,2011,12,28,IAH,VPS,528
CO,815,2011,4,27,IAH,LAX,1379
XE,4704,2011,9,23,IAH,HSV,595
OO,1131,2011,7,26,IAH,PIT,1117
XE,2568,2011,6,29,IAH,RIC,1157
CO,746,2011,6,12,IAH,ORD,925
CO,1562,2011,5,23,IAH,RSW,861
OO,2045,2011,9,5,IAH,DFW,224
CO,370,2011,5,21,IAH,SFO,1635
WN,467,2011,3,10,HOU,TUL,453
CO,1748,2011,5,28,IAH,FLL,965
OO,5821,2011,6,19,IAH,DSM,802
XE,2936,2011,5,31,IAH,AEX,190
XE,4226,2011,11,1,IAH,MOB,427
DL,1471,2011,1,23,HOU,ATL,696
OO,5204,2011,12,26,IAH,SLC,1195
CO,246,2011,5,21,IAH,ORD,925
CO,1206,2011,8,24,IAH,PHL,1325
CO,1779,2011,7,5,IAH,SAT,191
XE,4467,2011,10,8,IAH,GPT,376
WN,1707,2011,9,12,HOU,MSY,302
AA,428,2011,1,31,IAH,DFW,224
WN,1005,2011,6,6,HOU,BNA,670
CO,52,2011,7,3,IAH,LAX,1379
UA,419,2011,6,18,IAH,ORD,925
US,270,2011,1,26,IAH,PHX,1009
OO,4492,2011,6,9,IAH,MSP,1034
CO,1844,2011,1,10,IAH,CLE,1091
WN,19,2011,3,7,HOU,HRL,276
OO,1149,2011,7,6,IAH,ATL,689
XE,4151,2011,11,20,IAH,LEX,828
XE,4254,2011,10,4,IAH,GPT,376
XE,3155,2011,5,25,IAH,MFE,316
XE,4400,2011,11,10,IAH,OMA,781
XE,2841,2011,8,9,IAH,DAY,929
XE,2299,2011,9,23,IAH,MKE,984
XE,2822,2011,5,4,IAH,GSP,838
XE,4416,2011,11,14,IAH,IND,844
XE,4512,2011,12,12,IAH,SDF,788
WN,554,2011,11,1,HOU,PHX,1020
CO,1574,2011,7,3,IAH,MFE,316
XE,4321,2011,12,30,IAH,GSP,837
DL,1675,2011,8,31,IAH,ATL,689
OO,5822,2011,3,3,IAH,MAF,429
WN,58,2011,7,1,HOU,DAL,239
CO,323,2011,2,25,IAH,MSY,305
CO,1858,2011,7,3,IAH,IAD,1190
WN,1877,2011,3,26,HOU,PHX,1020
WN,3743,2011,7,9,HOU,MCO,849
XE,2010,2011,5,30,IAH,SDF,788
WN,594,2011,8,27,HOU,DAL,239
XE,2036,2011,5,23,IAH,JAX,817
OO,5168,2011,10,3,IAH,OMA,781
XE,4426,2011,12,1,IAH,MAF,429
CO,1723,2011,5,8,IAH,ONT,1334
WN,441,2011,6,10,HOU,JAN,359
XE,2435,2011,4,4,IAH,JAX,817
CO,1594,2011,11,24,IAH,MIA,964
CO,1239,2011,12,26,IAH,LAX,1379
XE,2176,2011,7,6,IAH,ABQ,744
XE,2427,2011,7,23,IAH,LBB,458
XE,4694,2011,12,4,IAH,CAE,878
WN,10,2011,3,11,HOU,DAL,239
UA,774,2011,7,29,IAH,DEN,862
CO,770,2011,6,11,IAH,SFO,1635
XE,2780,2011,3,22,IAH,ORF,1201
CO,1597,2011,9,24,IAH,ONT,1334
OO,5220,2011,11,2,IAH,TUS,936
OO,1178,2011,3,27,IAH,PIT,1117
XE,2198,2011,6,11,IAH,CRW,975
WN,254,2011,8,11,HOU,BNA,670
XE,2275,2011,8,19,IAH,PBI,956
WN,3307,2011,10,2,HOU,OKC,419
CO,1462,2011,2,14,IAH,RSW,861
WN,3578,2011,11,23,HOU,LAX,1390
WN,3231,2011,12,22,HOU,BNA,670
XE,4350,2011,10,24,IAH,TUL,429
XE,4471,2011,10,5,IAH,DAL,216
CO,5,2011,2,1,IAH,MSY,305
WN,1699,2011,8,30,HOU,CHS,928
OO,1149,2011,7,20,IAH,ATL,689
CO,1617,2011,7,14,IAH,PHL,1325
XE,2759,2011,4,22,IAH,BHM,562
WN,462,2011,7,27,HOU,SAN,1313
OO,1155,2011,5,7,IAH,OKC,395
XE,4320,2011,12,31,IAH,GSP,837
AA,2234,2011,4,16,IAH,MIA,964
CO,1869,2011,8,13,IAH,EWR,1400
XE,4681,2011,10,31,IAH,LIT,374
WN,167,2011,10,13,HOU,MSY,302
XE,2824,2011,1,21,IAH,BHM,562
WN,1508,2011,10,25,HOU,LAX,1390
XE,4656,2011,12,10,IAH,BHM,562
CO,1040,2011,7,8,IAH,BWI,1235
CO,1717,2011,9,18,IAH,SAN,1303
WN,879,2011,8,24,HOU,BHM,570
WN,2363,2011,9,4,HOU,AUS,148
CO,197,2011,4,7,IAH,LAS,1222
DL,1590,2011,9,28,IAH,ATL,689
XE,2882,2011,4,17,IAH,BNA,657
CO,1430,2011,9,30,IAH,DEN,862
XE,4385,2011,10,28,IAH,GJT,979
F9,147,2011,6,25,HOU,DEN,883
WN,3059,2011,8,18,HOU,ELP,677
XE,2562,2011,8,11,IAH,DAL,216
CO,1790,2011,5,19,IAH,MIA,964
CO,1485,2011,8,20,IAH,DEN,862
XE,2264,2011,6,18,IAH,VPS,528
CO,1590,2011,12,26,IAH,BWI,1235
XE,2380,2011,2,18,IAH,AVL,834
CO,1639,2011,10,1,IAH,SAT,191
WN,2565,2011,10,5,HOU,MCO,849
AA,493,2011,3,17,IAH,DFW,224
WN,52,2011,11,1,HOU,DAL,239
WN,2582,2011,5,21,HOU,ABQ,759
WN,32,2011,1,7,HOU,DAL,239
XE,2198,2011,6,30,IAH,CRW,975
XE,4496,2011,11,1,IAH,MOB,427
XE,3000,2011,5,2,IAH,BTR,253
WN,234,2011,5,24,HOU,JAN,359
CO,755,2011,4,27,IAH,ATL,689
CO,1614,2011,9,21,IAH,MCO,854
CO,167,2011,6,30,IAH,SEA,1874
XE,2420,2011,9,17,IAH,GRR,1042
WN,215,2011,3,21,HOU,STL,687
WN,1636,2011,2,8,HOU,DAL,239
WN,640,2011,11,8,HOU,MDW,937
OO,1134,2011,1,30,IAH,OKC,395
MQ,3216,2011,6,29,HOU,DFW,247
CO,1474,2011,7,22,IAH,LAX,1379
CO,482,2011,3,12,IAH,BOS,1597
CO,1648,2011,1,26,IAH,FLL,965
US,652,2011,10,16,IAH,PHX,1009
CO,1623,2011,4,5,IAH,MSY,305
CO,1587,2011,8,9,IAH,SAT,191
WN,947,2011,11,7,HOU,EWR,1411
XE,2489,2011,8,17,IAH,HOB,501
XE,2461,2011,9,13,IAH,JAN,351
CO,706,2011,1,10,IAH,TPA,787
WN,776,2011,4,12,HOU,LAS,1235
CO,1531,2011,12,9,IAH,BWI,1235
CO,511,2011,1,9,IAH,MFE,316
XE,2885,2011,2,5,IAH,COS,809
XE,2249,2011,7,8,IAH,MEM,468
CO,686,2011,5,8,IAH,MCO,853
CO,1,2011,12,13,IAH,HNL,3904
CO,1541,2011,5,29,IAH,AUS,140
EV,5445,2011,5,7,HOU,ATL,696
XE,3005,2011,6,19,IAH,CRP,201
XE,4420,2011,10,8,IAH,JAX,817
XE,2008,2011,1,11,IAH,JAX,817
WN,2194,2011,2,20,HOU,PHX,1020
XE,2833,2011,3,13,IAH,JAN,351
CO,1161,2011,10,21,IAH,MCO,854
XE,2520,2011,2,25,IAH,CVG,871
WN,55,2011,11,16,HOU,MCO,849
XE,2945,2011,9,4,IAH,JAN,351
XE,2884,2011,2,20,IAH,DAL,217
WN,2719,2011,2,21,HOU,AUS,148
XE,3078,2011,1,3,IAH,RIC,1157
WN,39,2011,5,24,HOU,BNA,670
CO,1707,2011,9,25,IAH,PHX,1009
XE,4116,2011,11,1,IAH,CRP,201
CO,1145,2011,11,10,IAH,SAT,191
WN,2,2011,9,30,HOU,DAL,239
OO,1182,2011,3,24,IAH,RDU,1043
CO,1087,2011,10,7,IAH,BOS,1597
WN,55,2011,10,4,HOU,HRL,277
CO,1826,2011,5,31,IAH,DEN,862
MQ,3216,2011,4,4,HOU,DFW,247
CO,1779,2011,2,23,IAH,SAT,191
WN,2288,2011,8,18,HOU,PHX,1020
XE,4188,2011,11,25,IAH,TUL,429
CO,865,2011,7,29,IAH,ORD,925
CO,1443,2011,7,17,IAH,SEA,1874
MQ,3762,2011,6,24,IAH,LAX,1379
CO,1508,2011,3,26,IAH,RNO,1530
XE,3038,2011,6,19,IAH,BNA,657
WN,2347,2011,8,30,HOU,EWR,1411
CO,1784,2011,7,29,IAH,SAN,1303
XE,4671,2011,11,17,IAH,BNA,657
WN,171,2011,5,25,HOU,OKC,419
OO,5349,2011,7,31,IAH,ORD,925
MQ,3796,2011,4,18,IAH,ORD,925
WN,1147,2011,3,20,HOU,ELP,677
WN,1673,2011,9,8,HOU,AUS,148
XE,2274,2011,8,27,IAH,MCI,643
CO,190,2011,4,17,IAH,MIA,964
CO,597,2011,1,19,IAH,LAS,1222
WN,113,2011,9,25,HOU,LAX,1390
XE,2066,2011,1,5,IAH,PBI,956
US,269,2011,1,16,IAH,PHX,1009
CO,1548,2011,5,20,IAH,FLL,965
WN,56,2011,6,9,HOU,DAL,239
OO,5822,2011,6,10,IAH,COS,809
CO,1289,2011,10,8,IAH,CLE,1091
WN,3403,2011,1,11,HOU,TUL,453
CO,1246,2011,11,19,IAH,EWR,1400
CO,520,2011,2,27,IAH,PHX,1009
CO,297,2011,5,1,IAH,LAS,1222
WN,3937,2011,10,27,HOU,PHL,1336
XE,2131,2011,3,3,IAH,CRP,201
XE,4400,2011,12,9,IAH,OMA,781
XE,4330,2011,10,28,IAH,ATL,689
CO,682,2011,3,22,IAH,BOS,1597
WN,1256,2011,8,16,HOU,MDW,937
XE,4179,2011,11,15,IAH,GSO,987
MQ,3265,2011,9,30,HOU,DFW,247
US,270,2011,2,28,IAH,PHX,1009
XE,2591,2011,5,12,IAH,DAL,217
FL,1597,2011,8,7,HOU,BKG,490
OO,5181,2011,10,24,IAH,CVG,871
UA,855,2011,3,1,IAH,SFO,1635
XE,4243,2011,10,16,IAH,CMH,986
CO,815,2011,5,8,IAH,LAX,1379
CO,1790,2011,5,24,IAH,MIA,964
US,1776,2011,10,7,IAH,PHL,1325
XE,2515,2011,4,6,IAH,HRL,295
WN,1264,2011,2,26,HOU,BNA,670
CO,1832,2011,5,23,IAH,LGA,1416
XE,2824,2011,5,1,IAH,BHM,562
CO,1773,2011,8,13,IAH,CLE,1091
XE,2555,2011,8,18,IAH,TUL,429
FL,292,2011,8,26,HOU,ATL,696
XE,3005,2011,7,28,IAH,CRP,201
WN,48,2011,8,11,HOU,DAL,239
CO,1622,2011,9,3,IAH,DFW,224
WN,24,2011,9,15,HOU,DAL,239
XE,2429,2011,8,2,IAH,MAF,429
WN,473,2011,1,1,HOU,CRP,187
XE,2769,2011,2,10,IAH,ELP,667
XE,4099,2011,11,23,IAH,BNA,657
WN,369,2011,5,29,HOU,MCO,848
CO,682,2011,3,2,IAH,BOS,1597
WN,56,2011,11,10,HOU,DAL,239
XE,4659,2011,12,9,IAH,BHM,562
CO,1656,2011,7,22,IAH,TPA,787
XE,2525,2011,8,22,IAH,GPT,376
CO,559,2011,6,29,IAH,SNA,1347
XE,2834,2011,1,20,IAH,JAN,351
WN,559,2011,2,16,HOU,OKC,419
XE,4578,2011,10,2,IAH,CHS,925
US,362,2011,5,1,IAH,PHX,1009
XE,4587,2011,11,21,IAH,DFW,224
CO,59,2011,3,18,IAH,DEN,862
WN,859,2011,7,21,HOU,MSY,302
CO,1476,2011,6,15,IAH,PHL,1324
CO,1046,2011,2,28,IAH,ORD,925
CO,1548,2011,6,27,IAH,FLL,965
CO,1644,2011,2,13,IAH,SMF,1609
CO,408,2011,6,5,IAH,EWR,1400
CO,1812,2011,7,17,IAH,OMA,781
CO,1569,2011,10,26,IAH,RDU,1042
EV,5181,2011,12,1,IAH,MEM,468
XE,4293,2011,10,10,IAH,BRO,308
XE,4507,2011,12,7,IAH,MKE,984
XE,2581,2011,5,11,IAH,CRP,201
CO,723,2011,6,22,IAH,MSY,305
B6,624,2011,3,22,HOU,JFK,1428
WN,34,2011,6,17,HOU,DAL,239
EV,5408,2011,11,4,IAH,DTW,1075
WN,462,2011,6,19,HOU,SAN,1312
CO,458,2011,3,30,IAH,DCA,1208
XE,2375,2011,2,14,IAH,TUL,429
WN,2362,2011,10,8,HOU,HRL,277
XE,2422,2011,9,20,IAH,MOB,427
XE,3152,2011,4,10,IAH,AMA,519
WN,3345,2011,11,13,HOU,MSY,302
XE,2122,2011,4,14,IAH,MSP,1034
XE,2033,2011,5,30,IAH,BTR,253
WN,787,2011,5,15,HOU,SAN,1312
WN,55,2011,11,2,HOU,HRL,277
CO,1432,2011,9,23,IAH,SFO,1635
FL,294,2011,6,3,HOU,ATL,696
B6,620,2011,5,18,HOU,JFK,1428
XE,4685,2011,9,13,IAH,XNA,438
WN,618,2011,7,19,HOU,LAX,1390
CO,1600,2011,3,7,IAH,DFW,224
WN,21,2011,11,22,HOU,MCO,849
CO,1621,2011,2,8,IAH,MFE,316
WN,2664,2011,11,1,HOU,STL,687
WN,1773,2011,2,24,HOU,AUS,148
CO,1206,2011,12,1,IAH,DFW,224
WN,521,2011,7,3,HOU,MCO,849
XE,2106,2011,9,28,IAH,MKE,984
WN,1260,2011,8,20,HOU,MCO,849
XE,2340,2011,8,8,IAH,SDF,788
WN,2511,2011,10,28,HOU,AUS,148
XE,2705,2011,6,30,IAH,GPT,376
CO,162,2011,12,26,IAH,MTJ,927
WN,41,2011,3,21,HOU,CRP,187
WN,776,2011,3,29,HOU,LAS,1235
WN,44,2011,6,10,HOU,DAL,239
DL,1235,2011,4,12,IAH,ATL,689
CO,1087,2011,10,19,IAH,BOS,1597
WN,629,2011,7,8,HOU,BNA,670
XE,4464,2011,12,6,IAH,DSM,802
CO,1614,2011,12,11,IAH,FLL,965
WN,199,2011,6,30,HOU,BNA,670
XE,3043,2011,8,10,IAH,IND,844
CO,1779,2011,8,10,IAH,SAT,191
XE,2908,2011,4,26,IAH,AMA,519
CO,489,2011,3,27,IAH,SJC,1609
XE,4710,2011,9,21,IAH,GPT,376
XE,4455,2011,10,19,IAH,MSP,1034
EV,5135,2011,9,6,IAH,DTW,1075
XE,3027,2011,1,1,IAH,HRL,295
XE,2803,2011,1,9,IAH,SHV,192
WN,593,2011,2,19,HOU,MCO,848
WN,1565,2011,4,15,HOU,AUS,148
WN,621,2011,5,5,HOU,MSY,303
MQ,3762,2011,11,24,IAH,LAX,1379
OO,5833,2011,9,29,IAH,DAL,216
CO,1001,2011,11,27,IAH,SAT,191
OO,1193,2011,5,15,IAH,TUS,936
CO,1548,2011,4,30,IAH,FLL,965
OO,1102,2011,8,9,IAH,ABQ,744
CO,1628,2011,12,24,IAH,SEA,1874
XE,2433,2011,1,14,IAH,LBB,458
WN,6,2011,8,17,HOU,DAL,239
XE,2732,2011,1,1,IAH,CLT,913
XE,4558,2011,12,12,IAH,CRP,201
WN,1154,2011,5,1,HOU,JAN,359
CO,1586,2011,3,5,IAH,MCO,853
OO,1160,2011,8,13,IAH,COS,809
CO,1888,2011,4,26,IAH,DTW,1076
MQ,3796,2011,1,16,IAH,ORD,925
OO,4455,2011,9,11,IAH,SLC,1195
WN,38,2011,6,23,HOU,DAL,239
XE,2262,2011,3,26,IAH,OMA,781
XE,3060,2011,8,2,IAH,OKC,395
OO,6698,2011,1,11,IAH,DEN,862
CO,1718,2011,9,18,IAH,ORD,925
CO,755,2011,4,18,IAH,ATL,689
MQ,3265,2011,6,14,HOU,DFW,247
XE,2042,2011,4,26,IAH,BHM,562
OO,5173,2011,11,19,IAH,BFL,1428
EV,5237,2011,2,28,HOU,ATL,696
WN,2412,2011,11,6,HOU,CRP,187
XE,4355,2011,10,4,IAH,JAX,817
DL,1409,2011,6,13,IAH,DTW,1076
F9,229,2011,8,13,HOU,DEN,883
DL,1420,2011,5,8,IAH,DTW,1076
XE,2474,2011,9,14,IAH,BNA,657
EV,4927,2011,12,29,IAH,DTW,1075
CO,320,2011,3,20,IAH,PHX,1009
WN,153,2011,11,30,HOU,BNA,670
WN,323,2011,6,5,HOU,JAN,359
WN,3757,2011,12,18,HOU,DAL,239
CO,542,2011,2,19,IAH,SLC,1195
CO,1423,2011,6,27,IAH,MSY,305
XE,2796,2011,1,3,IAH,ATL,689
FL,292,2011,8,9,HOU,ATL,696
WN,55,2011,10,12,HOU,HRL,277
CO,770,2011,6,4,IAH,SFO,1635
OO,1178,2011,7,4,IAH,PIT,1117
OO,5228,2011,10,27,IAH,MAF,429
AA,426,2011,8,18,IAH,DFW,224
MQ,3719,2011,9,8,IAH,LAX,1379
CO,209,2011,3,11,IAH,PDX,1825
CO,820,2011,5,28,IAH,PHX,1009
CO,500,2011,1,11,IAH,IND,845
CO,1423,2011,11,21,IAH,SEA,1874
WN,47,2011,4,25,HOU,BWI,1246
WN,1273,2011,3,19,HOU,MSY,303
DL,810,2011,9,19,IAH,ATL,689
AA,1995,2011,10,10,IAH,DFW,224
XE,4474,2011,12,31,IAH,LFT,201
CO,279,2011,4,30,IAH,SAT,191
CO,1449,2011,7,22,IAH,DCA,1208
XE,2030,2011,5,7,IAH,SDF,788
WN,1212,2011,6,20,HOU,HRL,276
XE,2450,2011,9,22,IAH,SAT,191
XE,4711,2011,10,8,IAH,RIC,1157
CO,489,2011,2,25,IAH,SJC,1609
CO,1836,2011,7,30,IAH,PHL,1325
EV,5245,2011,9,22,IAH,MEM,468
XE,2157,2011,9,12,IAH,BHM,562
WN,1982,2011,7,13,HOU,DEN,883
WN,42,2011,6,23,HOU,DAL,239
MQ,3328,2011,11,6,HOU,DFW,247
WN,1272,2011,8,31,HOU,LAX,1390
XE,4328,2011,12,24,IAH,HRL,295
XE,2824,2011,1,16,IAH,BHM,562
XE,2133,2011,8,26,IAH,MKE,984
WN,2479,2011,5,21,HOU,SAN,1312
CO,1048,2011,1,22,IAH,FLL,965
XE,2799,2011,5,19,IAH,ICT,542
XE,3022,2011,5,7,IAH,GPT,376
OO,5805,2011,5,31,IAH,MAF,429
CO,1695,2011,6,11,IAH,LAX,1379
CO,1711,2011,2,20,IAH,OKC,395
CO,1750,2011,3,11,IAH,SFO,1635
XE,2731,2011,8,29,IAH,SHV,192
XE,2495,2011,9,30,IAH,BHM,562
US,1616,2011,12,15,IAH,CLT,912
XE,2550,2011,1,12,IAH,CLT,913
XE,2928,2011,7,5,IAH,TUL,429
DL,2095,2011,3,23,IAH,ATL,689
OO,5808,2011,9,9,IAH,ATL,689
WN,34,2011,11,9,HOU,DAL,239
WN,332,2011,7,1,HOU,ABQ,759
CO,1795,2011,6,16,IAH,LAX,1379
XE,2793,2011,3,28,IAH,MCI,643
XE,2174,2011,9,7,IAH,PNS,489
CO,1812,2011,5,24,IAH,OMA,781
XE,2223,2011,2,9,IAH,CRP,201
CO,1887,2011,8,15,IAH,FLL,965
XE,2873,2011,8,9,IAH,AMA,517
AA,2234,2011,12,26,IAH,MIA,964
XE,2573,2011,6,18,IAH,BNA,657
XE,2891,2011,3,17,IAH,JAN,351
XE,2907,2011,7,21,IAH,LFT,201
WN,794,2011,9,2,HOU,LAS,1235
CO,763,2011,2,8,IAH,MSY,305
